"record_code","format_version","submission_date","reporting_agency","release_agency","coordinator","tag_code_or_release_id","tag_type","first_sequential_number","last_sequential_number","related_group_type","related_group_id","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","release_location_state","release_location_rmis_region","release_location_rmis_basin","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown"
"T",4.2,20110216,"USFWS","USFWS",7,"54286",12,NA,NA,NA,NA,1,7,2008,20081230,20081230,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",30.24,137,"N",5000,84166,0,434,5000,2169,NA,NA,"C",0.025,182,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",84166,434,2169,0,0
"T",4.2,20110216,"USFWS","USFWS",7,"54287",12,NA,NA,NA,NA,1,7,2008,20081230,20081230,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",25.2,129,"N",5000,86228,NA,NA,5000,1760,NA,NA,"C",0.02,180,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",86228,0,1760,0,0
"T",4.2,20140616,"USFWS","USFWS",7,"54288",12,NA,NA,NA,NA,1,7,2008,20081216,20081216,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","F","H","B","FR",30.24,139,"N",5000,77967,NA,NA,5000,1999,NA,NA,"C",0.025,173,200,"","November Spring Surrogate. Resubmitted 6.4.14 & 6.16.14","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",77967,0,1999,0,0
"T",4.2,20110216,"USFWS","USFWS",7,"54289",12,NA,NA,NA,NA,1,7,2008,20081230,20081230,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",28.35,127,"N",5000,80516,NA,NA,5000,3794,NA,NA,"C",0.045,174,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",80516,0,3794,0,0
"T",4.2,20110216,"USFWS","USFWS",7,"54290",12,NA,NA,NA,NA,1,7,2008,20081230,20081230,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",30.24,125,"N",5000,72288,0,730,NA,NA,NA,NA,"C",0,173,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",72288,730,0,0,0
"T",4.2,20110216,"USFWS","USFWS",7,"54291",12,NA,NA,NA,NA,1,7,2008,20081230,20081230,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",28.35,142,"N",5000,79978,0,412,5000,1649,0,412,"C",0.025,172,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",79978,412,1649,412,0
"T",4.2,20110216,"USFWS","USFWS",7,"54292",12,NA,NA,NA,NA,1,7,2008,20090106,20090106,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",35.44,140,"N",5000,78502,NA,NA,5000,1195,NA,NA,"C",0.015,178,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",78502,0,1195,0,0
"T",4.2,20110216,"USFWS","USFWS",7,"54293",12,NA,NA,NA,NA,1,7,2008,20090106,20090106,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",31.72,141,"N",5000,82421,NA,NA,5000,1255,NA,NA,"C",0.015,169,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",82421,0,1255,0,0
"T",4.2,20110216,"USFWS","USFWS",7,"54294",12,NA,NA,NA,NA,1,7,2008,20090106,20090106,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",31.5,134,"N",5000,74530,NA,NA,5000,4757,NA,NA,"C",0.06,165,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",74530,0,4757,0,0
"T",4.2,20110216,"USFWS","USFWS",7,"54295",12,NA,NA,NA,NA,1,7,2008,20090123,20090123,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",39.78,141,"N",5000,71376,NA,NA,5000,4556,NA,NA,"C",0.06,183,200,"","January Spring Surrogate","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",71376,0,4556,0,0
